medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
1549,Paracetamol,Adol Suppository,"ANGELLIC STAR PHARMACY , Eloc pharmacy , MEDPLEX CHEMIST","-1.2844625, -1.2953742, -1.4293031","36.885289, 36.7455442, 36.6872005",14
1550,Paracetamol,Cetamol,"Bonaim pharmacy , Bripamu Medical Stores, EMIR HEALTH CENTER , Jubilee-Care Chemist, MEDPLEX CHEMIST","-1.2062072, -1.3111251, -1.266125, -1.1003338, -1.4293031","36.89570200000001, 36.8939304, 36.910522, 37.0129017, 36.6872005",203
1551,Paracetamol,"Panadol, Baby & Infant","KARURA CHEMIST II  TILL 8073490, Tylenek ","-1.2196352, -1.2986566","36.7128582, 36.7782771",3
1552,Paracetamol,betamol,"ANGELIC STAR PHARMACEUTICALS, Benpeny Chemist, BetahCare Family Health Clinic, Jubilee-Care Chemist, KARURA CHEMIST II  TILL 8073490","-1.2834847, -1.1469238, -1.1003338, -1.2196352","36.889222, 36.9587031, 37.0129017, 36.7128582",16
1553,Paracetamol,Gacet 250,"B-sons pharmacy, PANDE pharmacy ","-1.2673667, -1.0569879","36.7509204, 37.1106545",10
1554,Paracetamol,Panadol Children 5-12,"EMIR HEALTH CENTER , Falcon medical clinic ",-1.266125,36.910522,77
1556,Paracetamol,"Calpol, Infant","ANGELLIC STAR PHARMACY , B-sons pharmacy, Contract Pharmaceutocals-Kenya, Domain Care Pharmacy, Gallys pharmacy, Jobbs chemist, KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST, Primo pharmacy , Saaynex pharmacy , Witethie One Afyacare Chemist","-1.2844625, -1.2673667, -1.4582262, -1.2085276, -1.3319206, -1.2033456, -1.2196352, -1.4293031, -1.2684709, -1.2778042, -1.2530089","36.885289, 36.7509204, 36.9770502, 36.8997757, 36.8571633, 36.9152292, 36.7128582, 36.6872005, 36.7483516, 36.9001114, 36.8883399",20
1557,Paracetamol,Curamol,"Apotek Pharmaceutical, Bonmed healthcare services , Bripamu Medical Stores, Crowmed pharmaceuticals , Disanjo Chemist , Eloc pharmacy , EMIR HEALTH CENTER , Jovi Pharmaceuticals , KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST, Miliecare, Pesh chemist","-1.2885927, -1.3016847, -1.3111251, -1.3621855, -1.2650867, -1.2953742, -1.266125, -1.3685031, -1.2196352, -1.4293031, -1.2563775","36.9504001, 36.888386, 36.8939304, 36.6555867, 36.8826178, 36.7455442, 36.910522, 36.9401517, 36.7128582, 36.6872005, 36.9241304",55
1559,Paracetamol,PCM,"B-sons pharmacy, CALMAK CHEMIST , Crowmed pharmaceuticals , Falcon medical clinic , MEDPLEX CHEMIST, Miliecare, SAMIALBA, urit medical ","-1.2673667, -1.053931, -1.3621855, -1.4293031, -1.279668, -1.1009928","36.7509204, 38.3631399, 36.6555867, 36.6872005, 36.82553, 37.0129877",2429
1560,Paracetamol,"Calpol, Infant","ANGELIC STAR PHARMACEUTICALS, ANGELLIC STAR PHARMACY , Apotek Pharmaceutical, CHARLIK PHARMACY, Eloc pharmacy , EMIR HEALTH CENTER , Jubilee-Care Chemist, MEDPLEX CHEMIST, Saaynex pharmacy , SIDAI CHEMIST","-1.2834847, -1.2844625, -1.2885927, -1.215894, -1.2953742, -1.266125, -1.1003338, -1.4293031, -1.2778042, -1.4779526","36.889222, 36.885289, 36.9504001, 36.88669160000001, 36.7455442, 36.910522, 37.0129017, 36.6872005, 36.9001114, 36.9577694",44
1562,Paracetamol,"Panadol, Advance","ANGELLIC STAR PHARMACY , Apotek Pharmaceutical, Disanjo Chemist , Eloc pharmacy , EMIR HEALTH CENTER , Falcon medical clinic , Helmet, Jubilee-Care Chemist, KARURA CHEMIST II  TILL 8073490, Loipan Pharmacy, MEDIBLEND , Sportpharm chemist","-1.2844625, -1.2885927, -1.2650867, -1.2953742, -1.266125, -0.0980706, -1.1003338, -1.2196352, -1.4766794, -1.282731, -1.2937908","36.885289, 36.9504001, 36.8826178, 36.7455442, 36.910522, 34.7513591, 37.0129017, 36.7128582, 36.9597949, 36.7848689, 36.8797927",310
1563,Paracetamol,Cipladon,"ANGELIC STAR PHARMACEUTICALS, ANGELLIC STAR PHARMACY , Bonaim pharmacy , Eloc pharmacy , Falcon medical clinic , KARURA CHEMIST II  TILL 8073490","-1.2834847, -1.2844625, -1.2062072, -1.2953742, -1.2196352","36.889222, 36.885289, 36.89570200000001, 36.7455442, 36.7128582",26
1564,Paracetamol,Paracetamol,"CARDINAL CHEMIST, Eloc pharmacy , EMIR HEALTH CENTER , KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST","-1.3958137, -1.2953742, -1.266125, -1.2196352, -1.4293031","36.7638655, 36.7455442, 36.910522, 36.7128582, 36.6872005",1948
1565,Paracetamol,Curamol,"B-sons pharmacy, Crowmed pharmaceuticals , Eloc pharmacy , Highcare pharmaceuticals ltd, Jovi Pharmaceuticals , KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST, memah bestcare pharmacy, Mercilin Afya services , Nas Chemist, SIDAI CHEMIST, Tikotiko Chemist ","-1.2673667, -1.3621855, -1.2953742, -1.2779609, -1.3685031, -1.2196352, -1.4293031, -0.3076936, -1.3921923, 0.5206237, -1.4779526, -1.3080828","36.7509204, 36.6555867, 36.7455442, 36.8913474, 36.9401517, 36.7128582, 36.6872005, 38.2196697, 36.9407301, 35.2762755, 36.9577694, 36.7819929",126
1567,Paracetamol ,Sona Moja,"BetahCare Family Health Clinic, Bripamu Medical Stores, Eloc pharmacy ","-1.3111251, -1.2953742","36.8939304, 36.7455442",33
1568,Paracetamol ,Mara Moja,"Apotek Pharmaceutical, CHARLIK PHARMACY, Crowmed pharmaceuticals , Disanjo Chemist , Falcon medical clinic , MEDIBLEND , Nas Chemist, Transfern pharmacy ","-1.2885927, -1.215894, -1.3621855, -1.2650867, -1.282731, 0.5206237, -1.2203453","36.9504001, 36.88669160000001, 36.6555867, 36.8826178, 36.7848689, 35.2762755, 36.8945136",441
1570,Paracetamol ,Hedex,"ANGELIC STAR PHARMACEUTICALS, ANGELLIC STAR PHARMACY , Bripamu Medical Stores, Jubilee-Care Chemist, Perta Chemist","-1.2834847, -1.2844625, -1.3111251, -1.1003338, -1.1079318","36.889222, 36.885289, 36.8939304, 37.0129017, 37.016326",18
1571,Paracetamol ,Kaluma Strong,"B-sons pharmacy, Bripamu Medical Stores, CALMAK CHEMIST , CHARLIK PHARMACY, Falcon medical clinic , Jubilee-Care Chemist, MEDPLEX CHEMIST, Nas Chemist","-1.2673667, -1.3111251, -1.053931, -1.215894, -1.1003338, -1.4293031, 0.5206237","36.7509204, 36.8939304, 38.3631399, 36.88669160000001, 37.0129017, 36.6872005, 35.2762755",54
