medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
9170,Aceclofenac and  Paracetamol,ZULU (Aceclofenac 100 mg + Paracetamol 500 mg…,Jubilee-Care Chemist,-1.1003338,37.0129017,3
9224,Cetirizine Hydrochloride.,Altrine,edlian hope u,0.0,0.0,5
9256,Levocetirizine Hydrochloride and Montelukast…,L Montus,"Jubilee-Care Chemist, MEDPLEX CHEMIST","-1.1003338, -1.4293031","37.0129017, 36.6872005",52
9306,Diclofenac Sodium ParacetamolChlorzoxazone,Lofnac MR tablet,Jubilee-Care Chemist,-1.1003338,37.0129017,2
9345,Paracetamol Pseudoephedrine HCl   Caffeine…,Coldcap original capsules,"Jubilee-Care Chemist, MEDIBLEND , MEDPLEX CHEMIST, nourish & bloom pharmacy, SIDAI CHEMIST","-1.1003338, -1.282731, -1.4293031, -1.266308, -1.4779526","37.0129017, 36.7848689, 36.6872005, 36.8117356, 36.9577694",413
9363,Dicycloverine Hydrochloride and Paracetamol…,Cyclopam P Tablets,Jubilee-Care Chemist,-1.1003338,37.0129017,2
9395,Paracetamol  Chlorpheniramine Maleate…,Coldcap syrup,"EMIR HEALTH CENTER , SIDAI CHEMIST","-1.266125, -1.4779526","36.910522, 36.9577694",17
9526,Diphenhydramine HCl BP sodium citrate menthol,Delased Paediatric syrup,"EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.266125, -1.4293031","36.910522, 36.6872005",3
9655,"Diphenhydramine HCl, Ephedrine HCl, Ammonium…",Dawahist expectorant  syrup,MEDIBLEND ,-1.282731,36.7848689,1
9854,PARACETAMOL,PARACETAMOL TABLET BP,Nas Chemist,0.5206237,35.2762755,475
10034,Paracetamol,Curamol 500mg tablets,EMIR HEALTH CENTER ,-1.266125,36.910522,52
10055,"Diphenhydramine HCL, Dextromethorphan HBR &…",Dacof Dry Syrup,EMIR HEALTH CENTER ,-1.266125,36.910522,2
10062,"Paracetamol ,  Caffeine Anhydrous, …",Dacold Capsules,MEDPLEX CHEMIST,-1.4293031,36.6872005,61
10157,Paracetamol,Parol suspension,EMIR HEALTH CENTER ,-1.266125,36.910522,5
10235,Cetirizine Hydrochloride,Alatrol Syrup,BetahCare Family Health Clinic,,,2
10237,Cetirizine Hydrochloride,Alatrol Tablet,BetahCare Family Health Clinic,,,36
10380,Paracetamol BP Ibuprofen BP & Caffeine BP,IBUCAP CAPSULES,"MEDPLEX CHEMIST, SIDAI CHEMIST","-1.4293031, -1.4779526","36.6872005, 36.9577694",35
10402,Aceclofenac BPParacetamol BP and Chlorzoxazone Usp,Rilif MR Tablets,"EMIR HEALTH CENTER , KARURA CHEMIST II  TILL 8073490, MEDIBLEND , MEDPLEX CHEMIST, Nas Chemist, SIDAI CHEMIST","-1.266125, -1.2196352, -1.282731, -1.4293031, 0.5206237, -1.4779526","36.910522, 36.7128582, 36.7848689, 36.6872005, 35.2762755, 36.9577694",135
10434,Diphenhydramine HCl B.P Promethazine HCl B.P…,Tricohist Expectorant,Jubilee-Care Chemist,-1.1003338,37.0129017,3
10781,PARACETAMOL BP,PAMOL SUSPENSION,THE MUTHAMI  HOSPITAL ,-1.214086,36.7222231,1
10837,Montelukast Sodium BP & Levocetirizine…,VOKAST,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,30
10956,"DIPHENHYDRAMINE HYDROCHLORIDE, CHLORPHENIRAMINE…",KOFGON,MEDPLEX CHEMIST,-1.4293031,36.6872005,46
11136,Hyoscine butylbromide and paracetamol,Buscopan Plus Tablets,"EMIR HEALTH CENTER , Jubilee-Care Chemist","-1.266125, -1.1003338","36.910522, 37.0129017",36
11265,Cetirizine hydrochloride B.P,Alzinex syrup,Jubilee-Care Chemist,-1.1003338,37.0129017,5
