medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
654,Condom,Trust Ribbed,"BetahCare Family Health Clinic, Jubilee-Care Chemist, MEDPLEX CHEMIST","-1.1003338, -1.4293031","37.0129017, 36.6872005",13
655,Condom,"Trust, Studded","ANGELIC STAR PHARMACEUTICALS, Apotek Pharmaceutical, BetahCare Family Health Clinic, Bonaim pharmacy , CARDINAL CHEMIST, Disanjo Chemist , Eloc pharmacy , EMIR HEALTH CENTER , Jubilee-Care Chemist, KARURA CHEMIST II  TILL 8073490, MEDIBLEND , MEDPLEX CHEMIST, Nas Chemist","-1.2834847, -1.2885927, -1.2062072, -1.3958137, -1.2650867, -1.2953742, -1.266125, -1.1003338, -1.2196352, -1.282731, -1.4293031, 0.5206237","36.889222, 36.9504001, 36.89570200000001, 36.7638655, 36.8826178, 36.7455442, 36.910522, 37.0129017, 36.7128582, 36.7848689, 36.6872005, 35.2762755",189
656,Condom,Leo,Eloc pharmacy ,-1.2953742,36.7455442,2
658,Consultation Fee - New Visit,5 Years and Above,Falcon medical clinic ,,,13
660,Corn Caps,Corn Caps Carnation,MEDIBLEND ,-1.282731,36.7848689,1
661,Cotrimoxazole,Cotrimoxazole,"Apotek Pharmaceutical, Disanjo Chemist ","-1.2885927, -1.2650867","36.9504001, 36.8826178",5
662,Cotrimoxazole 50 mls,Biotrim 50 mls,"Eloc pharmacy , EMIR HEALTH CENTER , Falcon medical clinic , Genevision pharmacy, SIDAI CHEMIST, urit medical ","-1.2953742, -1.266125, -1.4532496, -1.4779526, -1.1009928","36.7455442, 36.910522, 36.971792, 36.9577694, 37.0129877",33
663,Cotton Wool,Generic,"BetahCare Family Health Clinic, CARDINAL CHEMIST, KARURA CHEMIST II  TILL 8073490, Romac Pharmacy ","-1.3958137, -1.2196352, -1.2706834","36.7638655, 36.7128582, 36.8466657",73
665,Cotton Wool,Generic,"BetahCare Family Health Clinic, KARURA CHEMIST II  TILL 8073490",-1.2196352,36.7128582,3
666,Cotton Wool,Generic,Crowmed pharmaceuticals ,-1.3621855,36.6555867,1
667,Cough Expectorant,Tridacof Expectorant,Mercilin Afya services ,-1.3921923,36.9407301,1
672,Cough Expectorant,Imacoff,"MEDIBLEND , MEDPLEX CHEMIST","-1.282731, -1.4293031","36.7848689, 36.6872005",5
673,Cough Expectorant,Ascoff Mucolytic Expectorant Bronchodilator,"Jubilee-Care Chemist, Romac Pharmacy ","-1.1003338, -1.2706834","37.0129017, 36.8466657",103
675,Cough Mixture,Menthodex,EMIR HEALTH CENTER ,-1.266125,36.910522,1
677,Cough Syrup,Carydex For Dry Cough,"ANGELIC STAR PHARMACEUTICALS, Eloc pharmacy ","-1.2834847, -1.2953742","36.889222, 36.7455442",2
684,Cough Syrup,Lunahist,PIO Pharmacy ,-1.2728879,36.744336,1
685,Cough Syrup,Nicof,"MEDPLEX CHEMIST, Sanjon","-1.4293031, -0.7808666999999999","36.6872005, 35.3419008",50
686,Cough Syrup,Lunahist,B-sons pharmacy,-1.2673667,36.7509204,1
687,Cough Syrup,Acticoff Chesty,Nas Chemist,0.5206237,35.2762755,1
689,Cough Syrup,"Coscof, Expectorant","KARURA CHEMIST II  TILL 8073490, SIDAI CHEMIST","-1.2196352, -1.4779526","36.7128582, 36.9577694",4
